Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long
1,Monumen Nasional,Monumen Nasional is a good place to visit,Budaya,Jakarta,20000,4.6,15,"{'lat': -6.1753924, 'lng': 106.8271528}",-6.1753924,106.8271528
2,Kota Tua,Kota Tua is a good place to visit,Budaya,Jakarta,0,4.6,90,"{'lat': -6.137644799999999, 'lng': 106.8171245}",-6.1376448,106.8171245
3,Dunia Fantasi,Dunia Fantasi is a good place to visit,Taman Hiburan,Jakarta,270000,4.6,360,"{'lat': -6.125312399999999, 'lng': 106.8335377}",-6.1253124,106.8335377
4,Taman Mini Indonesia Indah (TMII),Taman Mini Indonesia Indah (TMII) is a good place to visit,Taman Hiburan,Jakarta,10000,4.5,,"{'lat': -6.302445899999999, 'lng': 106.8951559}",-6.3024459,106.8951559
5,Atlantis Water Adventure,Atlantis Water Adventure is a good place to visit,Taman Hiburan,Jakarta,94000,4.5,60,"{'lat': -6.12419, 'lng': 106.839134}",-6.12419,106.839134
6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol is a good place to visit,Taman Hiburan,Jakarta,25000,4.5,10,"{'lat': -6.117333200000001, 'lng': 106.8579951}",-6.1173332,106.8579951
7,Kebun Binatang Ragunan,Kebun Binatang Ragunan is a good place to visit,Cagar Alam,Jakarta,4000,4.5,,"{'lat': -6.3124593, 'lng': 106.8201865}",-6.3124593,106.8201865
8,Ocean Ecopark,Ocean Ecopark is a good place to visit,Taman Hiburan,Jakarta,180000,4,,"{'lat': -6.125801699999999, 'lng': 106.8363249}",-6.1258017,106.8363249
9,Pelabuhan Marina,Pelabuhan Marina is a good place to visit,Bahari,Jakarta,175000,4.4,,"{'lat': 1.07888, 'lng': 103.931398}",1.07888,103.931398
10,Pulau Tidung,Pulau Tidung is a good place to visit,Bahari,Jakarta,150000,4.5,,"{'lat': -5.803205300000001, 'lng': 106.5237907}",-5.8032053,106.5237907
11,Pulau Bidadari,Pulau Bidadari is a good place to visit,Bahari,Jakarta,5000,4.6,,"{'lat': -6.035832999999999, 'lng': 106.746944}",-6.035833,106.746944
12,Pulau Pari,Pulau Pari is a good place to visit,Bahari,Jakarta,150000,4,,"{'lat': -5.9074328, 'lng': 106.5863989}",-5.9074328,106.5863989
13,Pulau Pramuka,Pulau Pramuka is a good place to visit,Bahari,Jakarta,5000,4.2,,"{'lat': -5.745962, 'lng': 106.6136577}",-5.745962,106.6136577
14,Pulau Pelangi,Pulau Pelangi is a good place to visit,Bahari,Jakarta,900000,4.8,,"{'lat': -5.587055, 'lng': 106.5885}",-5.587055,106.5885
15,Pasar Seni,Pasar Seni is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4.4,90,"{'lat': -6.1766868, 'lng': 106.8417666}",-6.1766868,106.8417666
16,Jembatan Kota Intan,Jembatan Kota Intan is a good place to visit,Budaya,Jakarta,0,4.3,,"{'lat': -6.1314572, 'lng': 106.8106169}",-6.1314572,106.8106169
17,Museum Fatahillah,Museum Fatahillah is a good place to visit,Budaya,Jakarta,5000,4.4,,"{'lat': -6.136448899999999, 'lng': 106.8130661}",-6.1364489,106.8130661
18,Museum Bank Indonesia,Museum Bank Indonesia is a good place to visit,Budaya,Jakarta,2000,4.7,,"{'lat': -6.137127, 'lng': 106.813005}",-6.137127,106.813005
19,Kidzania,Kidzania is a good place to visit,Taman Hiburan,Jakarta,185000,4.6,300,"{'lat': -6.225073499999999, 'lng': 106.8097144}",-6.2250735,106.8097144
20,Museum Taman Prasasti,Museum Taman Prasasti is a good place to visit,Budaya,Jakarta,2000,4.5,90,"{'lat': -6.172224099999998, 'lng': 106.8189695}",-6.1722241,106.8189695
21,Museum Wayang,Museum Wayang is a good place to visit,Budaya,Jakarta,5000,4.5,150,"{'lat': -6.1349072, 'lng': 106.8124452}",-6.1349072,106.8124452
22,Masjid Istiqlal,Masjid Istiqlal is a good place to visit,Tempat Ibadah,Jakarta,0,4.7,,"{'lat': -6.17017, 'lng': 106.83139}",-6.17017,106.83139
23,Gereja Katedral,Gereja Katedral is a good place to visit,Tempat Ibadah,Jakarta,0,4.8,,"{'lat': -6.169225000000001, 'lng': 106.833063}",-6.169225,106.833063
24,Museum Nasional,Museum Nasional is a good place to visit,Budaya,Jakarta,5000,4.6,,"{'lat': -6.176402099999999, 'lng': 106.8215901}",-6.1764021,106.8215901
25,Pasar Tanah Abang,Pasar Tanah Abang is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4,45,"{'lat': -6.189009599999999, 'lng': 106.8119312}",-6.1890096,106.8119312
26,Pecinan Glodok,Pecinan Glodok is a good place to visit,Pusat Perbelanjaan,Jakarta,0,4.3,20,"{'lat': -6.142758799999999, 'lng': 106.8140791}",-6.1427588,106.8140791
27,Sea World,Sea World is a good place to visit,Taman Hiburan,Jakarta,115000,4.5,180,"{'lat': -6.126477500000001, 'lng': 106.842963}",-6.1264775,106.842963
28,Wisata Agro Edukatif Istana Susu Cibugary,Wisata Agro Edukatif Istana Susu Cibugary is a good place to visit,Taman Hiburan,Jakarta,35000,4.5,,"{'lat': -6.3568093, 'lng': 106.9062371}",-6.3568093,106.9062371
29,Wisata Kuliner Pecenongan,Wisata Kuliner Pecenongan is a good place to visit,Pusat Perbelanjaan,Jakarta,0,5,,"{'lat': -6.166788700000001, 'lng': 106.8265261}",-6.1667887,106.8265261
30,Taman Menteng,Taman Menteng is a good place to visit,Taman Hiburan,Jakarta,0,4.5,,"{'lat': -6.1964087, 'lng': 106.8293106}",-6.1964087,106.8293106
31,Wisata Alam Mangrove Angke,Wisata Alam Mangrove Angke is a good place to visit,Cagar Alam,Jakarta,25000,4.3,,"{'lat': -6.105334, 'lng': 106.735584}",-6.105334,106.735584
32,Setu Babakan,Setu Babakan is a good place to visit,Budaya,Jakarta,0,4.4,,"{'lat': -6.341666699999999, 'lng': 106.8238889}",-6.3416667,106.8238889
33,Taman Suropati,Taman Suropati is a good place to visit,Taman Hiburan,Jakarta,0,4.6,,"{'lat': -6.1994034, 'lng': 106.8326228}",-6.1994034,106.8326228
